Date,Consumer Sentiment,PCE Total,PCE Durables,PCE Nondurables,PCE Services,Real Disposable Income,Recession Flag
2000-01-01,112.0,6542.9,908.6,1463.7,4170.6,9799.9,0
2000-02-01,111.3,6625.3,930.7,1485.4,4209.1,9837.9,0
2000-03-01,107.1,6686.5,923.3,1527.5,4235.7,9864.0,0
2000-04-01,109.2,6679.1,900.6,1528.2,4250.2,9913.7,0
2000-05-01,110.7,6709.7,907.0,1532.0,4270.7,9954.5,0
2000-06-01,106.4,6746.9,898.2,1545.1,4303.6,9982.3,0
2000-07-01,108.3,6768.5,897.3,1547.8,4323.4,10035.9,0
2000-08-01,107.3,6802.8,906.4,1548.8,4347.6,10098.3,0
2000-09-01,106.8,6888.6,931.3,1575.8,4381.5,10110.3,0
2000-10-01,105.8,6893.8,920.6,1572.6,4400.6,10139.2,0
2000-11-01,107.6,6909.8,913.4,1572.5,4424.0,10143.5,0
2000-12-01,98.4,6952.2,913.5,1587.7,4451.0,10164.3,0
2001-01-01,94.7,6987.4,916.5,1582.1,4488.9,10211.7,0
2001-02-01,90.6,7001.8,938.9,1574.9,4488.0,10223.4,0
2001-03-01,91.5,6996.7,925.1,1560.3,4511.3,10254.4,0
2001-04-01,88.4,7004.2,908.3,1582.1,4513.8,10233.1,1
2001-05-01,92.0,7052.8,916.0,1603.0,4533.8,10214.7,1
2001-06-01,92.6,7069.7,934.1,1586.8,4548.8,10218.1,1
2001-07-01,92.4,7082.3,925.0,1592.0,4565.3,10370.7,1
2001-08-01,91.5,7121.7,942.5,1590.2,4589.0,10543.1,1
2001-09-01,81.8,7007.0,904.1,1591.9,4511.0,10452.8,1
2001-10-01,82.7,7212.9,1035.1,1592.0,4585.8,10267.7,1
2001-11-01,83.9,7182.3,997.0,1580.6,4604.8,10279.7,1
2001-12-01,88.8,7166.7,955.6,1573.1,4638.1,10298.9,0
2002-01-01,93.0,7184.6,970.7,1578.6,4635.3,10514.7,0
2002-02-01,90.7,7225.2,983.2,1584.5,4657.5,10531.6,0
2002-03-01,95.7,7243.4,974.9,1593.8,4674.7,10539.0,0
2002-04-01,93.0,7312.5,1001.5,1607.3,4703.6,10574.2,0
2002-05-01,96.9,7288.9,962.7,1602.6,4723.7,10616.5,0
2002-06-01,92.4,7322.5,968.0,1618.7,4735.8,10648.2,0
2002-07-01,88.1,7387.3,1001.6,1617.5,4768.2,10621.0,0
2002-08-01,87.6,7412.6,1019.7,1616.3,4776.6,10623.0,0
